Format Version,1.0,
Take Name,trial2-subject1-070220_001,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
173,1.730000,173,7.700439,-5.005127,-26.922852,1.530518,-0.758179,-4.137207,-0.028161,-0.056848,0.000000
174,1.740000,174,7.978027,-4.199707,-26.167969,1.510193,-0.746399,-4.052734,-0.028523,-0.057712,0.000000
175,1.750000,175,8.069336,-4.688965,-27.187500,1.523010,-0.747314,-4.271484,-0.027487,-0.056019,0.000000
176,1.760000,176,7.635254,-5.377197,-26.660156,1.585571,-0.760773,-3.699951,-0.028536,-0.059473,0.000000
177,1.770000,177,7.668213,-5.099121,-26.666016,1.625000,-0.758942,-4.052734,-0.028461,-0.060939,0.000000
178,1.780000,178,7.526611,-3.959961,-26.811523,1.528015,-0.783508,-3.985718,-0.029223,-0.056991,0.000000
179,1.790000,179,7.702148,-4.635742,-26.543945,1.544312,-0.732330,-3.784058,-0.027589,-0.058179,0.000000
180,1.800000,180,8.123535,-5.213623,-26.666992,1.489197,-0.698669,-4.170654,-0.026200,-0.055844,0.000000
181,1.810000,181,8.401855,-4.745361,-26.804688,1.500916,-0.689575,-4.338867,-0.025726,-0.055995,0.000000
182,1.820000,182,8.339844,-4.808594,-26.673828,1.525452,-0.739136,-4.288330,-0.027710,-0.057189,0.000000
183,1.830000,183,7.452148,-5.227783,-26.148438,1.581543,-0.740509,-3.851196,-0.028319,-0.060483,0.000000
184,1.840000,184,7.546875,-4.947510,-26.410156,1.574951,-0.761414,-4.019287,-0.028830,-0.059634,0.000000
185,1.850000,185,7.183594,-4.922852,-26.792969,1.643982,-0.652618,-3.918457,-0.024358,-0.061359,0.000000
186,1.860000,186,7.936035,-5.926270,-26.910156,1.599182,-0.706604,-3.968994,-0.026258,-0.059427,0.000000
187,1.870000,187,6.874268,-5.576416,-26.909180,1.590820,-0.783203,-4.187500,-0.029105,-0.059118,0.000000
188,1.880000,188,7.544678,-5.133057,-26.279297,1.602478,-0.785706,-3.918457,-0.029898,-0.060979,0.000000
189,1.890000,189,7.424072,-5.134766,-26.534180,1.602722,-0.646027,-3.699951,-0.024347,-0.060402,0.000000
